BreedName,SpeciesId
Goldfish,7
Hermit Crab,7
Horned Frog,7
Iguana,7
King / Milk,7
Leopard,7
Leopard Frog,7
Lizard,7
Mississippi Map Turtle,7
Monitor,7
Mud,7
Musk,7
Oregon Newt,7
Ornamental Box,7
Other,7
Paddle Tailed Newt,7
Painted,7
Python,7
Red Foot,7
Red-Eared Slider,7
Russian,7
Saltwater Fish,7
Scorpion,7
Snake,7
Snapping,7
Soft Shell,7
Southern,7
Sulcata,7
Tarantula,7
Three-Toed Box,7
Tiger Salamander,7
Toad,7
Tortoise,7
Tree Frog,7
Turtle,7
Uromastyx,7
Water Dragon,7
Yellow-Bellied Slider,7
Alpaca,8
Alpine,8
Angus,8
Barbados,8
Boer,8
Bull,8
Cow,8
Duroc,8
Goat,8
Hampshire,8
Holstein,8
Jersey,8
LaMancha,8
Landrace,8
Llama,8
Merino,8
Mouflon,8
Myotonic / Fainting,8
Nigerian Dwarf,8
Nubian,8
Oberhasli,8
Pig,8
Pot Bellied,8
Pygmy,8
Saanen,8
Sheep,8
Shetland,8
Toggenburg,8
Vietnamese Pot Bellied,8
